"connected_sensitive_tax","connected_methanogen","Metabolite_name","Kingdom","Superclass","Class.metab","Subclass","Parent.Level.1","Parent.Level.2","Parent.Level.3","Parent.Level.4","Parent.Level.5","Classification_network","edge_genome_metab","weight_genome_metab","edge_metab_methanogen","weight_metab_methanogen"
"SPRUCE 124: Acidobacteriota","SPRUCE 2026","Allantoin","Organic compounds","Organoheterocyclic compounds","Azoles","Imidazoles","Imidazoles",NA,NA,NA,NA,"Amino acids and derivatives","positive",0.0125,"negative",-0.0299
"SPRUCE 124: Acidobacteriota","SPRUCE 2026","Ramalinic acid A","Organic compounds","Lignans, neolignans and related compounds",NA,NA,"Lignans, neolignans and related compounds",NA,NA,NA,NA,"Phenolic compound","negative",-0.0158,"negative",-0.0188
"SPRUCE 124: Acidobacteriota","SPRUCE 510","(+)-Catechin","Organic compounds","Phenylpropanoids and polyketides","Flavonoids","Flavans","Flavan-3-ols","Catechins",NA,NA,NA,"Phenolic compound","positive",0.0221,"negative",-0.0081
"SPRUCE 124: Acidobacteriota","SPRUCE 556","3-hydroxy-3-methylpentanedioic acid","Organic compounds","Lipids and lipid-like molecules","Fatty Acyls","Fatty acids and conjugates","Hydroxy fatty acids",NA,NA,NA,NA,"Lipids and lipid-like molecules","positive",0.0684,"negative",-0.053
"SPRUCE 124: Acidobacteriota","SPRUCE 556","Ramalinic acid A","Organic compounds","Lignans, neolignans and related compounds",NA,NA,"Lignans, neolignans and related compounds",NA,NA,NA,NA,"Phenolic compound","negative",-0.0158,"positive",0.1499
"SPRUCE 190: Myxococcota","SPRUCE 2021","Decarboxyhypothamnolic acid","Organic compounds","Phenylpropanoids and polyketides","Depsides and depsidones",NA,"Depsides and depsidones",NA,NA,NA,NA,"Phenolic compound","negative",-0.01,"negative",-0.0088
"SPRUCE 190: Myxococcota","SPRUCE 2026","Oxazinomycin","Organic compounds","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","Glycosyl compounds","C-glycosyl compounds",NA,NA,NA,"Other organic compounds","positive",0.0964,"negative",-0.0642
"SPRUCE 190: Myxococcota","SPRUCE 510","(+)-Catechin","Organic compounds","Phenylpropanoids and polyketides","Flavonoids","Flavans","Flavan-3-ols","Catechins",NA,NA,NA,"Phenolic compound","positive",0.0136,"negative",-0.0081
"SPRUCE 190: Myxococcota","SPRUCE 556","N2-Acetyl-L-aminoadipate","Organic compounds","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Amino acids and derivatives","Alpha amino acids and derivatives","N-acyl-alpha amino acids and derivatives","N-acyl-alpha amino acids","N-acyl-L-alpha-amino acids","Amino acids and derivatives","negative",-0.0353,"negative",-0.0244
"SPRUCE 2042: Actinobacteriota","SPRUCE 2021","Butyryl-L-carnitine","Organic compounds","Lipids and lipid-like molecules","Fatty Acyls","Fatty acid esters","Acyl carnitines",NA,NA,NA,NA,"Lipids and lipid-like molecules","positive",0.12,"negative",-0.3225
"SPRUCE 2042: Actinobacteriota","SPRUCE 2026","Butyryl-L-carnitine","Organic compounds","Lipids and lipid-like molecules","Fatty Acyls","Fatty acid esters","Acyl carnitines",NA,NA,NA,NA,"Lipids and lipid-like molecules","positive",0.12,"negative",-0.0623
"SPRUCE 2053: Proteobacteria","SPRUCE 556","Succinyladenosine","Organic compounds","Nucleosides, nucleotides, and analogues","Purine nucleosides",NA,"Purine nucleosides",NA,NA,NA,NA,"Amino acids and derivatives","positive",7e-04,"positive",0.0028
"SPRUCE 2057: Desulfobacterota_B","SPRUCE 2026","Allantoin","Organic compounds","Organoheterocyclic compounds","Azoles","Imidazoles","Imidazoles",NA,NA,NA,NA,"Amino acids and derivatives","positive",0.0061,"negative",-0.0299
"SPRUCE 2148: Actinobacteriota","SPRUCE 2026","D-Phenylalanine","Organic compounds","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Amino acids and derivatives","Alpha amino acids and derivatives","Phenylalanine and derivatives",NA,NA,"Amino acids and derivatives","negative",-9e-04,"positive",0.0356
"SPRUCE 2148: Actinobacteriota","SPRUCE 556","D-Phenylalanine","Organic compounds","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Amino acids and derivatives","Alpha amino acids and derivatives","Phenylalanine and derivatives",NA,NA,"Amino acids and derivatives","negative",-9e-04,"positive",0.0327
"SPRUCE 2155: Actinobacteriota","SPRUCE 2026","Albiflorin-3",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Other organic compounds","positive",0.0089,"negative",-0.0041
"SPRUCE 2155: Actinobacteriota","SPRUCE 2026","Raspberry ketone glucoside","Organic compounds","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","Glycosyl compounds","Phenolic glycosides",NA,NA,NA,"Other organic compounds","positive",0.0161,"negative",-0.0485
"SPRUCE 2155: Actinobacteriota","SPRUCE 510","Indospicine","Organic compounds","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Amino acids and derivatives","Alpha amino acids and derivatives","Alpha amino acids","L-alpha-amino acids",NA,"Amino acids and derivatives","positive",0.003,"negative",-0.049
"SPRUCE 2155: Actinobacteriota","SPRUCE 556","Estriol","Organic compounds","Lipids and lipid-like molecules","Steroids and steroid derivatives","Estrane steroids","Estrogens and derivatives",NA,NA,NA,NA,"Lipids and lipid-like molecules","negative",-0.0762,"negative",-0.005
"SPRUCE 2155: Actinobacteriota","SPRUCE 556","Luvangetin","Organic compounds","Phenylpropanoids and polyketides","Coumarins and derivatives","Pyranocoumarins","Linear pyranocoumarins",NA,NA,NA,NA,"Phenolic compound","negative",-0.0057,"positive",0.0127
"SPRUCE 2159: Actinobacteriota","SPRUCE 510","(+)-Catechin","Organic compounds","Phenylpropanoids and polyketides","Flavonoids","Flavans","Flavan-3-ols","Catechins",NA,NA,NA,"Phenolic compound","positive",0.0202,"negative",-0.0081
"SPRUCE 2183: Proteobacteria","SPRUCE 2021","Maltotriose",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Other organic compounds","positive",0.0597,"negative",-0.0391
"SPRUCE 2191: Proteobacteria","SPRUCE 2026","Albiflorin-3",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Other organic compounds","positive",0.0247,"negative",-0.0041
"SPRUCE 275: Proteobacteria","SPRUCE 2026","(5R,6S)-5-Hydroxy-4-methoxy-6-(2-phenylethyl)-5,6-dihydro-2H-pyran-2-one","Organic compounds","Phenylpropanoids and polyketides","Kavalactones",NA,"Kavalactones",NA,NA,NA,NA,"Phenolic compound","positive",0.0138,"negative",-0.0704
"SPRUCE 275: Proteobacteria","SPRUCE 2026","D-(+)-Turanose",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Other organic compounds","positive",0.0268,"negative",-0.0201
"SPRUCE 275: Proteobacteria","SPRUCE 510","Indospicine","Organic compounds","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Amino acids and derivatives","Alpha amino acids and derivatives","Alpha amino acids","L-alpha-amino acids",NA,"Amino acids and derivatives","positive",0.0139,"negative",-0.049
"SPRUCE 275: Proteobacteria","SPRUCE 556","(5S,6S)-5-hydroxy-4-methoxy-6-(2-phenylethyl)-5,6-dihydro-2H-pyran-2-one","Organic compounds","Phenylpropanoids and polyketides","Kavalactones",NA,"Kavalactones",NA,NA,NA,NA,"Phenolic compound","positive",0.019,"negative",-0.0114
"SPRUCE 356: Actinobacteriota","SPRUCE 2026","Raspberry ketone glucoside","Organic compounds","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","Glycosyl compounds","Phenolic glycosides",NA,NA,NA,"Other organic compounds","positive",0.0073,"negative",-0.0485
"SPRUCE 397: Proteobacteria","SPRUCE 2021","Maltotriose",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Other organic compounds","positive",0.007,"negative",-0.0391
"SPRUCE 397: Proteobacteria","SPRUCE 2026","D-(+)-Turanose",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Other organic compounds","positive",0.0097,"negative",-0.0201
"SPRUCE 397: Proteobacteria","SPRUCE 2026","Oxazinomycin","Organic compounds","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","Glycosyl compounds","C-glycosyl compounds",NA,NA,NA,"Other organic compounds","positive",0,"negative",-0.0642
"SPRUCE 675: Actinobacteriota","SPRUCE 2021","cis-Dehydroretinal",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Other organic compounds","positive",6e-04,"negative",-0.0931
"SPRUCE 675: Actinobacteriota","SPRUCE 556","trans,trans-2,4-Heptadienal","Organic compounds","Organic oxygen compounds","Organooxygen compounds","Carbonyl compounds","Aldehydes","Medium-chain aldehydes",NA,NA,NA,"Other organic compounds","positive",0.0284,"positive",0.0145
"SPRUCE 689: Acidobacteriota","SPRUCE 2021","1-(4-Hydroxyphenyl)-7-phenylhepta-3,5-dione","Organic compounds","Phenylpropanoids and polyketides","Diarylheptanoids","Linear diarylheptanoids","Linear diarylheptanoids",NA,NA,NA,NA,"Phenolic compound","negative",-6e-04,"positive",0.0109
"SPRUCE 689: Acidobacteriota","SPRUCE 2021","2-Hydroxypyridine","Organic compounds","Organoheterocyclic compounds","Pyridines and derivatives","Hydropyridines","Pyridinones",NA,NA,NA,NA,"Amino acids and derivatives","positive",7e-04,"positive",0.0127
"SPRUCE 689: Acidobacteriota","SPRUCE 510","2-oxoarginine","Organic compounds","Organic acids and derivatives","Keto acids and derivatives","Short-chain keto acids and derivatives","Short-chain keto acids and derivatives",NA,NA,NA,NA,"Amino acids and derivatives","positive",0.0512,"negative",-0.0126
"SPRUCE 689: Acidobacteriota","SPRUCE 556","17-Amino-5alpha-androstan-11-ol","Organic compounds","Lipids and lipid-like molecules","Steroids and steroid derivatives","Hydroxysteroids","11-hydroxysteroids",NA,NA,NA,NA,"Lipids and lipid-like molecules","negative",-0.0081,"negative",-0.0022
"SPRUCE 87: Proteobacteria","SPRUCE 2021","Maltotriose",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Other organic compounds","positive",0.0366,"negative",-0.0391
"SPRUCE 87: Proteobacteria","SPRUCE 2021","N,N'-bis[(S)-1-methoxycarbonylethyl]fumaric diamide","Organic compounds","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Amino acids and derivatives","Alpha amino acids and derivatives","N-acyl-alpha amino acids and derivatives",NA,NA,"Amino acids and derivatives","positive",0.0219,"positive",0.0262
"SPRUCE 87: Proteobacteria","SPRUCE 2021","Pfaffic acid","Organic compounds","Lipids and lipid-like molecules","Prenol lipids","Triterpenoids","Triterpenoids",NA,NA,NA,NA,"Lipids and lipid-like molecules","positive",0.003,"positive",0.0161
