Plot,Depth,BG.h,CB.h,NAG.h,PHOS.h,Year,Sample,Name,Warming,Warming_simple,CO2,AvgTemp10cm,AvgTemp20cm,AvgTemp30cm,AvgTemp40cm,AvgTemp50cm,AvgTemp100cm,AvgTemp200cm,AvgWT_Elevation,AvgWTE_normalized,AvgMoisture0cm,AvgMoisture20cm,Warming_Treatment,CO2_Treatment,Warming_Treatment.ord,WT_drawdown,WT_drawdown_cm,Temp_avg_top,SoilWater_avg_top
10,10-20 cm,5.10447770635443,1.35393885404222,5.79010802330413,16.6233411129253,2022,Sample_21,P10-2_2022,9 ºC,9,elevated,17.5166994519285,16.4952163326547,15.7697708613279,15.1563277206198,14.7527931590883,13.3132131329035,12.3080433876258,412.410549091835,-0.0907134220406504,0.444053273866079,0.872676418549938,+ 9 ºC,Elevated,9 ºC,0.0907134220406504,9.07134220406504,17.005957892291597,0.6583648462080085
11,10-20 cm,1.48245998235307,0.180694511738103,3.10045865051576,22.7880152930481,2022,Sample_29,P11-2_2022,2.25 ºC,2.25,elevated,12.6191875877009,11.1186474517759,9.98143228862325,9.12513657306831,8.33447137396299,6.30009452443738,5.85192203245426,412.305154604145,-0.0029935203902439,0.648505665551215,0.894966990651718,+ 2.25 ºC,Elevated,2.25 ºC,0.0029935203902439,0.29935203902439,11.8689175197384,0.7717363281014665
13,10-20 cm,0.768133202220679,0.0224106342379847,2.00850520218237,8.87030436119582,2022,Sample_23,P13-2_2022,4.5 ºC,4.5,ambient,13.8905711475857,12.5821199633647,11.6158401455491,10.8177319595238,10.2194612936489,8.61688054100215,7.88767575353467,412.407357513135,-0.0125058288872881,0.530792935482411,0.937055808811877,+ 4.5 ºC,Ambient,4.5 ºC,0.0125058288872881,1.2505828887288102,13.2363455554752,0.733924372147144
16,10-20 cm,0.726114542992614,0.0951423266788067,0.822833162719457,11.7851735765309,2022,Sample_27,P16-2_2022,6.75 ºC,6.75,elevated,16.4308571793039,15.1297444542162,14.3792181367289,13.7616554682513,13.072859847708,11.1859919827957,10.1832951631579,412.568555391408,0.0347599380325203,0.504291754731183,0.865120877362762,+ 6.75 ºC,Elevated,6.75 ºC,-0.0347599380325203,-3.47599380325203,15.78030081676005,0.6847063160469725
17,10-20 cm,6.45640815401106,1.9434192002682,16.0657936467411,16.0449800164341,2022,Sample_24,P17-2_2022,9 ºC,9,ambient,16.7153345677419,15.5971498567063,14.8774392367289,14.3385519902094,13.8598926833616,12.7046050290323,12.2091323463497,412.459537928693,-0.00530931957723577,0.377512554168081,0.88326874959253,+ 9 ºC,Ambient,9 ºC,0.00530931957723577,0.530931957723577,16.1562422122241,0.6303906518803055
19,10-20 cm,0.772697857464748,0.121170695968589,0.629140880274697,13.569718159521999,2022,Sample_25,P19-2_2022,0 ºC,0,elevated,12.1952321469857,10.6637138638466,9.44264252702117,8.30434598493122,7.30363808130554,5.16880810365716,4.59337983220109,412.326894565217,0.0111166836747967,0.547944884302582,0.818025919223969,+ 0 ºC,Elevated,0 ºC,-0.0111166836747967,-1.11166836747967,11.429473005416149,0.6829854017632755
20,10-20 cm,1.96800637926069,0.307490583932839,0.936047508773994,8.30195909558085,2022,Sample_30,P20-2_2022,2.25 ºC,2.25,ambient,13.4881982578824,11.5254972448662,10.1558549935416,9.13836715575045,8.31077760962407,6.51441710285132,5.85631737655578,412.379199592599,-0.0152573456422764,0.579840872001584,0.876119394359584,+ 2.25 ºC,Ambient,2.25 ºC,0.0152573456422764,1.52573456422764,12.5068477513743,0.727980133180584
4,10-20 cm,3.14561409495499,0.713299190935066,5.63863584433966,11.6444176060562,2022,Sample_26,P4-2_2022,4.5 ºC,4.5,elevated,15.0824746874732,13.982928567102,12.9558464327391,12.0081850948783,11.2633478368421,9.05303413774759,7.88756714244482,412.36880465274203,0.0478333619186992,0.605195138647425,0.882053849496321,+ 4.5 ºC,Elevated,4.5 ºC,-0.0478333619186992,-4.78333619186992,14.5327016272876,0.743624494071873
6,10-20 cm,1.58600213036556,0.141992828952555,6.18202010832323,13.4735545754264,2022,Sample_22,P6-2_2022,0 ºC,0,ambient,9.53766785287088,7.26248335829403,5.82055268769229,4.81866387856261,4.18719781671378,3.35129142719149,3.21532588434566,412.32978389888,-0.0171317343658537,0.578792180121027,0.91364824505712,+ 0 ºC,Ambient,0 ºC,0.0171317343658537,1.7131734365853701,8.400075605582455,0.7462202125890735
8,10-20 cm,2.30696788143293,0.42862249321086,3.09107856062648,12.7150497550178,2022,Sample_28,P8-2_2022,6.75 ºC,6.75,ambient,16.1520056470788,15.1625707223732,14.021704501019,13.9348382338089,13.0228100490263,11.315170848562,10.12515505899,412.256399796196,0.0448960087317073,0.454217711922554,0.909781902338089,+ 6.75 ºC,Ambient,6.75 ºC,-0.0448960087317073,-4.48960087317073,15.657288184726,0.6819998071303215
4,10-20 cm,3.157414951,0.401960114,3.825320403,21.75862084,2021,Sample_16,P4-2_2021,4.5 ºC,4.5,elevated,16.5507255656263,15.4932253654415,14.535178604007,13.6396051547626,12.8449706629016,10.1137790968736,8.30253889255638,412.169024490501,-0.253802896205128,0.524813299746277,0.74722024765862,+ 4.5 ºC,Elevated,4.5 ºC,0.253802896205128,25.3802896205128,16.0219754655339,0.6360167737024485
6,10-20 cm,6.626375947,9.213016962,4.712032864,48.57891982,2021,Sample_12,P6-2_2021,0 ºC,0,ambient,11.9792988389913,9.83060237604345,8.35396673889078,7.28807091167447,6.53147058284914,4.85891671616271,3.65386261679472,412.194862745763,-0.159943663634146,0.548902103147837,0.902068095674682,+ 0 ºC,Ambient,0 ºC,0.159943663634146,15.9943663634146,10.904950607517375,0.7254850994112596
8,10-20 cm,16.1521301,0.303226135,42.05279411,71.47593976,2021,Sample_18,P8-2_2021,6.75 ºC,6.75,ambient,17.7015254237288,16.6090451977401,15.3914519774011,15.4146610169492,14.4709646401813,12.5508026094627,10.5410412164084,412.044498874598,-0.34390475661017,0.267449023295551,0.694508915582637,+ 6.75 ºC,Ambient,6.75 ºC,0.34390475661017,34.390475661017,17.15528531073445,0.480978969439094
13,10-20 cm,35.90592092,4.191642541,13.53615977,83.24603016,2021,Sample_13,P13-2_2021,4.5 ºC,4.5,ambient,15.6677679882526,14.3588726985203,13.3784875183554,12.5713091607365,11.9366937761211,9.95267705862419,8.33685807741128,412.239698821695,-0.218759656793388,0.329435971304299,0.785168841439304,+ 4.5 ºC,Ambient,4.5 ºC,0.218759656793388,21.875965679338798,15.01332034338645,0.5573024063718015
16,10-20 cm,18.31140335,13.50186073,11.60927441,78.98115644,2021,Sample_17,P16-2_2021,6.75 ºC,6.75,elevated,17.9959749070587,16.5598974568133,15.7611793873872,15.1288419151403,14.4410664859063,12.4707450714568,10.6168220075693,412.308484143579,-0.285975730566667,0.195451171411178,0.769377452368765,+ 6.75 ºC,Elevated,6.75 ºC,0.285975730566667,28.597573056666697,17.277936181936,0.4824143118899714
