Sample,Name,Plot,Depth,Warming,Warming_simple,CO2,Year,AvgTemp10cm,AvgTemp20cm,AvgTemp30cm,AvgTemp40cm,AvgTemp50cm,AvgTemp100cm,AvgTemp200cm,AvgWT_Elevation,AvgWTE_normalized,AvgMoisture0cm,AvgMoisture20cm,Warming_Treatment,CO2_Treatment,Warming_Treatment.ord,WT_drawdown,WT_drawdown_cm,Temp_avg_top,SoilWater_avg_top
Sample_1,P10-2_2020,10,10-20 cm,9 ºC,9,elevated,2020,18.3204389804088,17.1194515285682,16.3053884889341,15.6565772502823,15.2537943354788,13.7882207042118,12.5418502676152,412.187903998645,-0.100345362747967,0.21682046932172,0.7778235437727,+ 9 ºC,Elevated,9 ºC,0.100345362747967,10.0345362747967,17.7199452544885,0.49732200654721004
Sample_2,P6-2_2020,6,10-20 cm,0 ºC,0,ambient,2020,11.0396414376725,9.06505578281623,7.73244875177044,6.74872768841616,6.06077203765137,4.61947263856707,3.48411088753388,412.313927702474,-0.0135736597398374,0.589363375354033,0.959755287867299,+ 0 ºC,Ambient,0 ºC,0.0135736597398374,1.35736597398374,10.052348610244366,0.774559331610666
Sample_3,P13-2_2020,13,10-20 cm,4.5 ºC,4.5,ambient,2020,15.0002630483384,13.8274901929153,12.8876987845763,12.0693200735028,11.4324702191525,9.54590317118644,8.16140443265537,412.39657968803,-0.00564927498373984,0.408263838152542,0.913330335016949,+ 4.5 ºC,Ambient,4.5 ºC,0.00564927498373984,0.5649274983739839,14.413876620626851,0.6607970865847456
Sample_4,P17-2_2020,17,10-20 cm,9 ºC,9,ambient,2020,18.2084804249661,17.2135907148261,16.5388042795845,16.0116089667457,15.5143696872177,13.9488700580397,12.4801389600271,412.47465821477,-0.0199959518617886,0.487902184319823,0.889429199988055,+ 9 ºC,Ambient,9 ºC,0.0199959518617886,1.9995951861788601,17.7110355698961,0.688665692153939
Sample_5,P4-2_2020,4,10-20 cm,4.5 ºC,4.5,elevated,2020,16.0629524099037,15.0478407401197,14.0834651939928,13.1846674921522,12.3821364586156,10.148937620201,8.19535129951445,412.357002456794,-0.0164627111788618,0.606136797880482,0.837235623309885,+ 4.5 ºC,Elevated,4.5 ºC,0.0164627111788618,1.6462711178861797,15.5553965750117,0.7216862105951836
Sample_6,P16-2_2020,16,10-20 cm,6.75 ºC,6.75,elevated,2020,17.7953641126737,16.4548200652886,15.6487102376596,14.9748302887157,14.2401526460242,12.1990648303698,10.4419368429346,412.463495899695,0.024715448203252,0.342613320180326,0.73263142679593,+ 6.75 ºC,Elevated,6.75 ºC,-0.024715448203252,-2.4715448203252,17.125092088981148,0.537622373488128
Sample_7,P8-2_2020,8,10-20 cm,6.75 ºC,6.75,ambient,2020,17.0742180184621,16.1022609165537,14.9363884330397,14.9328404831188,14.0004050120822,12.1368930953591,10.3714465089205,412.358929623984,-0.00922022355284553,0.39883188503399303,0.822957246697155,+ 6.75 ºC,Ambient,6.75 ºC,0.00922022355284553,0.9220223552845529,16.5882394675079,0.610894565865574
Sample_8,P20-2_2020,20,10-20 cm,2.25 ºC,2.25,ambient,2020,14.2737566498213,12.3059603796249,11.0371597051308,10.1033886012195,9.30552578100723,7.15127868236224,5.99553730978997,412.373456455439,-0.0372049998373984,0.551553798967497,0.83440849632883,+ 2.25 ºC,Ambient,2.25 ºC,0.0372049998373984,3.7204999837398405,13.2898585147231,0.6929811476481635
Sample_9,P19-2_2020,19,10-20 cm,0 ºC,0,elevated,2020,13.9950375168026,12.5082035205765,11.2975282169442,10.1357827780043,9.07512282246008,6.22700837161626,5.01190686244195,412.430800779397,0.00699175743902439,0.573380349762873,0.904401916982836,+ 0 ºC,Elevated,0 ºC,-0.00699175743902439,-0.699175743902439,13.251620518689549,0.7388911333728545
Sample_10,P11-2_2020,11,10-20 cm,2.25 ºC,2.25,elevated,2020,13.5093096607887,12.0787235251991,11.0406940995481,10.2314935304016,9.4522901380557,7.16933253245213,6.04860197203864,412.38626771787,-0.0151771957317073,0.588213767982828,0.897531081991753,+ 2.25 ºC,Elevated,2.25 ºC,0.0151771957317073,1.51771957317073,12.7940165929939,0.7428724249872904
Sample_11,P10-2_2021,10,10-20 cm,9 ºC,9,elevated,2021,19.0344461832725,17.6965223439402,16.7973975540486,16.1053787747058,15.6725670897815,14.0695878977569,12.6773778473309,411.919586680469,-0.423867858016667,0.281761555746468,0.657862861547155,+ 9 ºC,Elevated,9 ºC,0.423867858016667,42.3867858016667,18.365484263606348,0.4698122086468115
Sample_12,P6-2_2021,6,10-20 cm,0 ºC,0,ambient,2021,11.9792988389913,9.83060237604345,8.35396673889078,7.28807091167447,6.53147058284914,4.85891671616271,3.65386261679472,412.194862745763,-0.159943663634146,0.548902103147837,0.902068095674682,+ 0 ºC,Ambient,0 ºC,0.159943663634146,15.9943663634146,10.904950607517375,0.7254850994112596
Sample_13,P13-2_2021,13,10-20 cm,4.5 ºC,4.5,ambient,2021,15.6677679882526,14.3588726985203,13.3784875183554,12.5713091607365,11.9366937761211,9.95267705862419,8.33685807741128,412.239698821695,-0.218759656793388,0.329435971304299,0.785168841439304,+ 4.5 ºC,Ambient,4.5 ºC,0.218759656793388,21.875965679338798,15.01332034338645,0.5573024063718015
Sample_14,P17-2_2021,17,10-20 cm,9 ºC,9,ambient,2021,18.6374463276836,17.4942372881356,16.7686327683616,16.2373672316384,15.7526892655367,14.2005367231638,12.6348813559322,412.185593971144,-0.350924654883333,0.31813257639948,0.746379144777721,+ 9 ºC,Ambient,9 ºC,0.350924654883333,35.0924654883333,18.0658418079096,0.5322558605886005
Sample_15,P19-2_2021,19,10-20 cm,0 ºC,0,elevated,2021,13.9003840506043,12.5091776798825,11.3854907940811,10.2800971422117,9.23720772619451,6.43519710832486,5.1004913588614,412.28572879661,-0.149471744373984,0.536680393968751,0.883406123025921,+ 0 ºC,Elevated,0 ºC,0.149471744373984,14.9471744373984,13.2047808652434,0.710043258497336
Sample_16,P4-2_2021,4,10-20 cm,4.5 ºC,4.5,elevated,2021,16.5507255656263,15.4932253654415,14.535178604007,13.6396051547626,12.8449706629016,10.1137790968736,8.30253889255638,412.169024490501,-0.253802896205128,0.524813299746277,0.74722024765862,+ 4.5 ºC,Elevated,4.5 ºC,0.253802896205128,25.3802896205128,16.0219754655339,0.6360167737024485
Sample_17,P16-2_2021,16,10-20 cm,6.75 ºC,6.75,elevated,2021,17.9959749070587,16.5598974568133,15.7611793873872,15.1288419151403,14.4410664859063,12.4707450714568,10.6168220075693,412.308484143579,-0.285975730566667,0.195451171411178,0.769377452368765,+ 6.75 ºC,Elevated,6.75 ºC,0.285975730566667,28.597573056666697,17.277936181936,0.48241431188997147
Sample_18,P8-2_2021,8,10-20 cm,6.75 ºC,6.75,ambient,2021,17.7015254237288,16.6090451977401,15.3914519774011,15.4146610169492,14.4709646401813,12.5508026094627,10.5410412164084,412.044498874598,-0.34390475661017,0.267449023295551,0.694508915582637,+ 6.75 ºC,Ambient,6.75 ºC,0.34390475661017,34.390475661017,17.15528531073445,0.480978969439094
Sample_19,P11-2_2021,11,10-20 cm,2.25 ºC,2.25,elevated,2021,13.9013554727211,12.3302948153168,11.2509544787078,10.448825256975,9.64595542173105,7.40468590447247,6.22722805828533,412.240137024991,-0.186806139691057,0.547798550071703,0.86707043186006,+ 2.25 ºC,Elevated,2.25 ºC,0.186806139691057,18.6806139691057,13.115825144018949,0.7074344909658815
Sample_20,P20-2_2021,20,10-20 cm,2.25 ºC,2.25,ambient,2021,15.1700767841012,13.1706639566396,11.7797707768744,10.7846770551039,9.94683265582656,7.6559620596206,6.33319218608853,412.249005137335,-0.18773754307377,0.540023035230352,0.799750395212286,+ 2.25 ºC,Ambient,2.25 ºC,0.18773754307377,18.773754307377,14.1703703703704,0.669886715221319
Sample_21,P10-2_2022,10,10-20 cm,9 ºC,9,elevated,2022,17.5166994519285,16.4952163326547,15.7697708613279,15.1563277206198,14.7527931590883,13.3132131329035,12.3080433876258,412.410549091835,-0.0907134220406504,0.444053273866079,0.872676418549938,+ 9 ºC,Elevated,9 ºC,0.0907134220406504,9.07134220406504,17.005957892291597,0.6583648462080085
Sample_22,P6-2_2022,6,10-20 cm,0 ºC,0,ambient,2022,9.53766785287088,7.26248335829403,5.82055268769229,4.81866387856261,4.18719781671378,3.35129142719149,3.21532588434566,412.32978389888,-0.0171317343658537,0.578792180121027,0.91364824505712,+ 0 ºC,Ambient,0 ºC,0.0171317343658537,1.7131734365853701,8.400075605582455,0.7462202125890735
Sample_23,P13-2_2022,13,10-20 cm,4.5 ºC,4.5,ambient,2022,13.8905711475857,12.5821199633647,11.6158401455491,10.8177319595238,10.2194612936489,8.61688054100215,7.88767575353467,412.407357513135,-0.0125058288872881,0.530792935482411,0.937055808811877,+ 4.5 ºC,Ambient,4.5 ºC,0.0125058288872881,1.2505828887288102,13.2363455554752,0.733924372147144
Sample_24,P17-2_2022,17,10-20 cm,9 ºC,9,ambient,2022,16.7153345677419,15.5971498567063,14.8774392367289,14.3385519902094,13.8598926833616,12.7046050290323,12.2091323463497,412.459537928693,-0.00530931957723577,0.377512554168081,0.88326874959253,+ 9 ºC,Ambient,9 ºC,0.00530931957723577,0.530931957723577,16.1562422122241,0.6303906518803055
Sample_25,P19-2_2022,19,10-20 cm,0 ºC,0,elevated,2022,12.1952321469857,10.6637138638466,9.44264252702117,8.30434598493122,7.30363808130554,5.16880810365716,4.59337983220109,412.326894565217,0.0111166836747967,0.547944884302582,0.818025919223969,+ 0 ºC,Elevated,0 ºC,-0.0111166836747967,-1.11166836747967,11.429473005416149,0.6829854017632755
Sample_26,P4-2_2022,4,10-20 cm,4.5 ºC,4.5,elevated,2022,15.0824746874732,13.982928567102,12.9558464327391,12.0081850948783,11.2633478368421,9.05303413774759,7.88756714244482,412.36880465274203,0.0478333619186992,0.605195138647425,0.882053849496321,+ 4.5 ºC,Elevated,4.5 ºC,-0.0478333619186992,-4.78333619186992,14.5327016272876,0.743624494071873
Sample_27,P16-2_2022,16,10-20 cm,6.75 ºC,6.75,elevated,2022,16.4308571793039,15.1297444542162,14.3792181367289,13.7616554682513,13.072859847708,11.1859919827957,10.1832951631579,412.568555391408,0.0347599380325203,0.504291754731183,0.865120877362762,+ 6.75 ºC,Elevated,6.75 ºC,-0.0347599380325203,-3.47599380325203,15.78030081676005,0.6847063160469725
Sample_28,P8-2_2022,8,10-20 cm,6.75 ºC,6.75,ambient,2022,16.1520056470788,15.1625707223732,14.021704501019,13.9348382338089,13.0228100490263,11.315170848562,10.12515505899,412.256399796196,0.0448960087317073,0.454217711922554,0.909781902338089,+ 6.75 ºC,Ambient,6.75 ºC,-0.0448960087317073,-4.48960087317073,15.657288184726,0.6819998071303215
Sample_29,P11-2_2022,11,10-20 cm,2.25 ºC,2.25,elevated,2022,12.6191875877009,11.1186474517759,9.98143228862325,9.12513657306831,8.33447137396299,6.30009452443738,5.85192203245426,412.305154604145,-0.0029935203902439,0.648505665551215,0.894966990651718,+ 2.25 ºC,Elevated,2.25 ºC,0.0029935203902439,0.29935203902439,11.8689175197384,0.7717363281014665
Sample_30,P20-2_2022,20,10-20 cm,2.25 ºC,2.25,ambient,2022,13.4881982578824,11.5254972448662,10.1558549935416,9.13836715575045,8.31077760962407,6.51441710285132,5.85631737655578,412.379199592599,-0.0152573456422764,0.579840872001584,0.876119394359584,+ 2.25 ºC,Ambient,2.25 ºC,0.0152573456422764,1.52573456422764,12.5068477513743,0.727980133180584
